,Time,Units
"Time/Sequence/Data.Edison.Seq.BankersQueue/addAll_1000_times_1000_elements_to_100000","3.602","s"
"Time/Sequence/Data.Edison.Seq.BankersQueue/add_25000_elements_to_3125","3.251","ms"
"Time/Sequence/Data.Edison.Seq.BankersQueue/clear_100000_elements","3.146","ms"
"Time/Sequence/Data.Edison.Seq.BankersQueue/containsAll_2500_times_for_1000_in_3125","95.24","s"
"Time/Sequence/Data.Edison.Seq.BankersQueue/contains_9999999_1000_times","2.492","s"
"Time/Sequence/Data.Edison.Seq.BankersQueue/iterator_100000_elements","3.952","ms"
"Time/Sequence/Data.Edison.Seq.BankersQueue/removeAll_10_times_1000_elements_from_100000","11.42","s"
"Time/Sequence/Data.Edison.Seq.BankersQueue/remove_10000_times_from_100000","7.192","s"
"Time/Sequence/Data.Edison.Seq.BankersQueue/retainAll_10_times_1000_elems_from_100000","11.43","s"
"Time/Sequence/Data.Edison.Seq.BankersQueue/toList_5000_times_from_100000","17.93","s"